"","MSE","k"
"1",139250.978476361,2
"2",121245.706060115,2
"3",124847.340383258,2
"4",119942.163104199,2
"5",130108.629177205,2
"6",120539.929894729,2
"7",123312.469610436,2
"8",124811.753320585,2
"9",125501.42252853,2
"10",119918.138233109,2
"11",132558.170024865,2
"12",126231.57234898,2
"13",122459.287142378,2
"14",132346.418923843,2
"15",119853.499884162,2
"16",119945.586175163,2
"17",124436.268578672,2
"18",134271.373377784,2
"19",119845.764199884,2
"20",127518.205965083,2
"21",126762.746210852,2
"22",124837.676338051,2
"23",120635.001240602,2
"24",124402.984121873,2
"25",125173.279081277,2
"26",123379.593489564,2
"27",122680.030428615,2
"28",124447.69921962,2
"29",123794.198722443,2
"30",118500.979479346,2
"31",122506.748446119,5
"32",116676.426074431,5
"33",117970.459344457,5
"34",122082.847940634,5
"35",119812.074726375,5
"36",119333.299082952,5
"37",122892.355126614,5
"38",120283.258410774,5
"39",115889.515572995,5
"40",120174.889396492,5
"41",121687.679165775,5
"42",118183.608948158,5
"43",118261.4586847,5
"44",115076.249014461,5
"45",123569.540793527,5
"46",118000.453956694,5
"47",123963.208662953,5
"48",122846.887028257,5
"49",119735.185290662,5
"50",121408.035076056,5
"51",118963.450379678,5
"52",121561.240446551,5
"53",116750.342077179,5
"54",118111.467778121,5
"55",117794.585953831,5
"56",115893.290367674,5
"57",116658.06839337,5
"58",117869.465887918,5
"59",118417.693579381,5
"60",117649.388199941,5
"61",121962.870325551,10
"62",116701.715495696,10
"63",117651.392031882,10
"64",116735.479976043,10
"65",121001.435435175,10
"66",116763.140165559,10
"67",119627.891976022,10
"68",116494.59769579,10
"69",116146.894957728,10
"70",119143.893282387,10
"71",120616.742809996,10
"72",121763.312573214,10
"73",115694.736846062,10
"74",118124.021347057,10
"75",123640.371963302,10
"76",122157.541462271,10
"77",117439.305361575,10
"78",112827.062157171,10
"79",124348.909735581,10
"80",120878.864186729,10
"81",115834.263151661,10
"82",121450.973635459,10
"83",118304.779559542,10
"84",114823.016147906,10
"85",122096.287597641,10
"86",119465.50072235,10
"87",116886.739763631,10
"88",118248.868037882,10
"89",117685.613864625,10
"90",117354.099367581,10
