"","Simulation..","k...2","k...5","k...10"
"1",1,121860.229946955,126614.740218098,125830.968981874
"2",2,118664.780639515,122669.713444143,120374.331246614
"3",3,123691.535896887,118102.013388824,116813.438373076
"4",4,123854.411233683,122042.642858056,120330.154326318
"5",5,128754.6714586,117741.65758598,115725.870222004
"6",6,122060.677355144,115208.008560795,122285.451230161
"7",7,121920.144132231,123375.337197187,114284.450414803
"8",8,132883.537517396,123887.452089214,120212.55892623
"9",9,124586.32570578,122400.737067657,118584.320553205
"10",10,127745.744691988,120442.828516574,117462.876621803
"11",11,116434.319847499,124673.653595033,121695.430930981
"12",12,119228.510118702,125248.899639643,119953.614182618
"13",13,116339.76360249,118241.02740427,117680.822714218
"14",14,121195.693292794,115760.896135673,122369.155903604
"15",15,128719.685470555,119091.042345606,116191.965128097
"16",16,128741.351807639,117276.535221037,117755.927061899
"17",17,124995.891334651,126840.604740157,121134.318556791
"18",18,137364.299644447,121190.795760518,117932.88357076
"19",19,123017.990937253,120691.479387746,119147.265154796
"20",20,125309.11191401,114248.578867443,117599.76194179
"21",21,137449.387795144,116560.306590641,117122.156413533
"22",22,126200.293062107,123214.776355908,118131.857945562
"23",23,119578.248535996,121393.60948312,122660.44149081
"24",24,131529.419578546,129008.036899675,116722.249896745
"25",25,130537.738087433,113754.937658182,119394.424807808
"26",26,121482.820855663,120870.543221837,121002.849821824
"27",27,126416.68035162,111039.299332017,117711.45044677
"28",28,119440.725902432,118730.981830089,119220.633424131
"29",29,133467.927490922,121301.53872171,119917.485895522
"30",30,117533.349173728,118041.079833256,121633.319096589
